Business Name,Location,OpeningTime,ClosingTime
Joe's Pizza Place,123 Main St,11:00 AM,10:00 PM
Pharmacy,456 Elm St,10:00 AM,01:00 PM
Green Thumb Garden Center,789 Oak St,7:30 AM,5:00 PM
Tasty Treats Bakery,101 Maple Ave,8:30 AM,6:00 PM
The Book Nook,202 Pine St,9:30 AM,7:00 PM
Luna's Lounge,303 Cherry St,8:30 AM,8:00 PM
Harmony Yoga Studio,404 Walnut St,7:30 AM,7:00 PM
Barber Shop,505 Cedar St,10:00 AM,01:00 PM
Super Market,606 Spruce St,10:00 AM,01:00 PM
Fresh Start Gym,707 Birch St,7:30 AM,7:00 PM
